voteid,question,source,rank,rating,time,user_id,code
19,1,1,4,5,2017-04-05 20:19:27.373994,5,"public static int nu(int array[]){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
20,2,0,1,1,2017-04-05 20:19:32.939539,12,"public int getTax(String persType){
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }
}"
21,1,0,3,1,2017-04-05 20:19:39.529410,19,"int largestDifference(int[] values)
{
  int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
}"
22,1,1,1,5,2017-04-05 20:19:50.793134,5,"public static int nu(int array[]){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
23,2,0,4,3,2017-04-05 20:20:04.997934,12,"public int getTax(String persType){
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }
}"
24,2,1,1,1,2017-04-05 20:20:11.251376,12,"public int getTax(String persType){
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }
}"
25,2,1,3,1,2017-04-05 20:20:16.132062,12,"public int getTax(String persType){
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }
}"
26,2,1,4,2,2017-04-05 20:20:22.295691,12,"public int getTax(String persType){
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }
}"
27,1,1,3,1,2017-04-05 20:20:23.771259,11,"int arraylargest(){
}"
28,1,0,5,1,2017-04-05 20:20:25.672979,11,"int arraylargest(){
}"
29,1,1,1,1,2017-04-05 20:20:27.136732,11,"int arraylargest(){
}"
30,1,0,3,1,2017-04-05 20:20:27.552031,19,"int largestDifference(int[] values)
{
  int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  
  int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < smallest) {
            smallest = values[i];
        }
    }
  
  return largest-smallest;
}"
31,1,1,2,1,2017-04-05 20:20:29.488549,11,"int arraylargest(){
}"
32,1,1,5,1,2017-04-05 20:20:30.808905,11,"int arraylargest(){
}"
33,1,1,4,2,2017-04-05 20:20:31.391543,19,"int largestDifference(int[] values)
{
  int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  
  int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < smallest) {
            smallest = values[i];
        }
    }
  
  return largest-smallest;
}"
34,1,0,2,1,2017-04-05 20:20:33.950961,19,"int largestDifference(int[] values)
{
  int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }
  
  int smallest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] < smallest) {
            smallest = values[i];
        }
    }
  
  return largest-smallest;
}"
35,2,1,5,1,2017-04-05 20:20:35.316734,18,"public int getTax (String type)
{
  // returns different percentage of tax based on type of person
	type.compareTo(s2);
}"
36,1,1,2,1,2017-04-05 20:20:58.688160,11,"int arraylargest(){
  //return largest int in array
}"
37,1,1,3,1,2017-04-05 20:21:00.128071,11,"int arraylargest(){
  //return largest int in array
}"
38,1,0,2,5,2017-04-05 20:21:15.535819,11,"int arraylargest(){
  //return largest int in array
}"
39,1,0,5,1,2017-04-05 20:21:29.951815,11,"int arraylargest(){
  //return largest int in array
}"
40,1,1,5,1,2017-04-05 20:21:30.903561,11,"int arraylargest(){
  //return largest int in array
}"
41,1,1,4,1,2017-04-05 20:21:32.663185,11,"int arraylargest(){
  //return largest int in array
}"
42,1,0,1,2,2017-04-05 20:21:43.431159,11,"int arraylargest(){
  //return largest int in array
}"
43,1,1,1,1,2017-04-05 20:21:47.222630,11,"int arraylargest(){
  //return largest int in array
}"
44,2,1,5,1,2017-04-05 20:22:04.485685,12,"public int getTax(String persType) throws BankingException{
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }else{
    throw new BankingException(""No such account or invalid password"");
  }
}"
45,2,1,3,3,2017-04-05 20:22:46.776151,12,"public int getTax(String persType) throws BankingException{
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }else{
    throw new BankingException(""Incorrect Person Type"");
  }
}"
46,2,0,3,1,2017-04-05 20:22:49.882556,12,"public int getTax(String persType) throws BankingException{
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }else{
    throw new BankingException(""Incorrect Person Type"");
  }
}"
47,2,1,4,3,2017-04-05 20:22:55.733938,12,"public int getTax(String persType) throws BankingException{
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }else{
    throw new BankingException(""Incorrect Person Type"");
  }
}"
48,1,0,1,5,2017-04-05 20:22:58.342319,11,"int arraylargest(){

    //largest difference in array
      
}"
49,2,0,4,1,2017-04-05 20:23:02.033320,12,"public int getTax(String persType) throws BankingException{
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }else{
    throw new BankingException(""Incorrect Person Type"");
  }
}"
50,1,0,5,1,2017-04-05 20:23:03.604896,11,"int arraylargest(){

    //largest difference in array
      
}"
51,2,1,1,1,2017-04-05 20:23:03.630310,12,"public int getTax(String persType) throws BankingException{
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }else{
    throw new BankingException(""Incorrect Person Type"");
  }
}"
52,2,1,2,2,2017-04-05 20:23:05.166766,12,"public int getTax(String persType) throws BankingException{
  if(persType.equals(""emp"")){
    if(salary < 10000){
      return salary*(.02);
    }else{
      return salary*(.05);
    }
  }else if(persType.equals(""busOwn"")){
    return profit*(.10);
  }else if(persType.equals(vet)){
    return 0;
  }else{
    throw new BankingException(""Incorrect Person Type"");
  }
}"
53,1,1,4,5,2017-04-05 20:23:06.602466,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
54,1,1,3,5,2017-04-05 20:23:22.861615,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
55,1,1,5,1,2017-04-05 20:23:24.884645,11,"int arraylargest(){

    //largest difference in array
      
}"
56,1,1,2,1,2017-04-05 20:23:26.499919,11,"int arraylargest(){

    //largest difference in array
      
}"
57,1,1,2,5,2017-04-05 20:23:29.481103,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
58,1,1,4,1,2017-04-05 20:23:33.308781,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
59,1,0,4,5,2017-04-05 20:23:41.014052,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
60,1,0,4,5,2017-04-05 20:23:49.944273,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
61,1,1,3,5,2017-04-05 20:23:52.426703,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
62,1,0,2,5,2017-04-05 20:24:00.048532,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
63,1,1,3,1,2017-04-05 20:24:08.011023,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
64,1,0,1,5,2017-04-05 20:24:08.379465,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
65,1,0,3,5,2017-04-05 20:24:10.866911,5,"/*
return the largest difference between the elements
*/
public static int nu(int[] array){
  int largest=0,current=0,smallest=0;
    for(int i=0;i<array.size();i++){
      current=array[i];
      if(current>=largest){
        largest=current;
      }
      if(current<=smallest){
        smallest=current;
      }
    }
  return largest-smallest;
}"
66,1,1,5,1,2017-04-05 20:24:21.919337,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
67,1,1,4,1,2017-04-05 20:24:40.354904,11,"int [] arraylargest(){

    //largest difference in array
      //subtract int
}"
68,1,1,1,1,2017-04-05 20:24:41.450515,11,"int [] arraylargest(){

    //largest difference in array
      //subtract int
}"
69,1,0,3,1,2017-04-05 20:25:02.075036,11,"int [] arraylargestdiffernce(){

    //largest difference in array
      //subtract int
}"
70,1,1,1,1,2017-04-05 20:25:02.609966,11,"int [] arraylargestdiffernce(){

    //largest difference in array
      //subtract int
}"
71,1,1,5,1,2017-04-05 20:25:06.421696,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
72,1,1,2,3,2017-04-05 20:25:13.216963,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
73,1,0,4,5,2017-04-05 20:25:16.258649,11,"int [] arraylargestdiffernce(){

    //largest difference in array
      //subtract int
}"
74,1,0,1,3,2017-04-05 20:25:16.717213,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
75,1,0,3,1,2017-04-05 20:25:40.299281,12,"public int largestDif(int[] array){
  
}"
76,1,0,3,1,2017-04-05 20:25:41.220648,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
77,1,0,4,5,2017-04-05 20:25:42.801955,11,"int [] arraylargestdiffernce(){

    //largest difference in array
      //subtract int
}"
78,1,0,3,1,2017-04-05 20:25:43.394677,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
79,1,0,2,4,2017-04-05 20:25:46.258479,12,"public int largestDif(int[] array){
  
}"
80,1,0,4,2,2017-04-05 20:25:51.890159,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
81,1,1,4,1,2017-04-05 20:25:54.951932,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
82,2,1,5,2,2017-04-05 20:25:56.562369,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        
      }
    case 2:
      {
        
      }
    case 3:
      {
        
      }
    case 0:
      {
        
      }
    default:
      {
        
      }
  }
  // returns different percentage of tax based on type of person
  type.compareTo(s2);
}"
83,1,0,2,2,2017-04-05 20:25:59.497549,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	int delta = (max - min);
  	return delta;
}"
84,1,1,2,2,2017-04-05 20:26:12.005887,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
85,2,1,1,1,2017-04-05 20:26:14.535119,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        
      }
    case 2:
      {
        
      }
    case 3:
      {
        
      }
    case 0:
      {
        
      }
    default:
      {
        
      }
  }
  // returns different percentage of tax based on type of person
  type.compareTo(s2);
}"
86,1,0,4,4,2017-04-05 20:26:15.368164,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	int delta = (max - min);
  	return delta;
}"
87,1,1,4,1,2017-04-05 20:26:16.058330,12,"public int largestDif(int[] array){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }  
}"
88,1,0,4,1,2017-04-05 20:26:22.157903,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
89,1,1,5,1,2017-04-05 20:26:24.224985,12,"public int largestDif(int[] array){
	int largest = values[0];
    for (int i = 1; i < values.length; i++) {
        if (values[i] > largest) {
            largest = values[i];
        }
    }  
}"
90,1,0,1,3,2017-04-05 20:26:26.935768,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	int delta = (max - min);
  	return delta;
}"
91,1,0,5,1,2017-04-05 20:26:30.927784,11,"int [] arraylargestdiffernce(){

    //subtracts integers in array
      //returns largest integer in array
}"
92,1,0,4,5,2017-04-05 20:26:39.599786,11,"int [] arraylargestdiffernce(){

    //subtracts integers in array
      //returns largest integer in array
}"
93,1,1,1,1,2017-04-05 20:26:41.560169,11,"int [] arraylargestdiffernce(){

    //subtracts integers in array
      //returns largest integer in array
}"
94,1,0,2,1,2017-04-05 20:26:42.519667,11,"int [] arraylargestdiffernce(){

    //subtracts integers in array
      //returns largest integer in array
}"
95,1,0,1,1,2017-04-05 20:26:50.196871,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
96,1,1,3,3,2017-04-05 20:27:04.609592,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
97,1,0,2,3,2017-04-05 20:27:05.720923,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
98,1,0,2,1,2017-04-05 20:27:08.869535,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
99,1,1,4,1,2017-04-05 20:27:09.949553,3,"int arrayDifference(int array[]){
  
  /* takes an array and return the difference between its largest element 
    and its smallest element*/ 
}
  "
100,1,0,1,2,2017-04-05 20:27:20.745196,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
101,1,1,2,3,2017-04-05 20:27:25.653929,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
102,1,0,1,2,2017-04-05 20:27:30.223319,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
103,2,0,4,1,2017-04-05 20:27:32.368496,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
      }
    case 2:
      {
        
      }
    case 3:
      {
        
      }
    case 0:
      {
        
      }
    default:
      {
        
      }
  }
  // returns different percentage of tax based on type of person
  type.compareTo(s2);
}"
104,1,0,3,1,2017-04-05 20:27:36.268345,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
105,1,1,4,1,2017-04-05 20:27:37.407235,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
106,1,0,4,1,2017-04-05 20:27:41.053285,17,"public int largestDiff(int[] x)
{
  int largest = x[0];
  int smallest = x[0];
 for(int y = 1; y < x.length; y++)
  {
 if(x[y] > largest)
    {
   largest = x[y];
    }
  }
 for(int z = 1; z < x.length; z++)
  {
  if(x[z] < smallest)
    {
     smallest = x[z];
    }
  }
 return largest - smallest;
} "
107,2,0,2,3,2017-04-05 20:27:43.151293,18,"public int getTax (String type)
{
  int x;
  System.out.println(""Enter 1 for employees, 2 for business owners, 3 for veterans or 0 for none of these"");
  x=scan.nextInt();
  switch (x)
  {
    case 1:
      {
        if(salary<10000)
        {
          return 0.02;
        }
        else
        {
          return 0.05;
        }
      }
    case 2:
      {
        
      }
    case 3:
      {
        
      }
    case 0:
      {
        
      }
    default:
      {
        
      }
  }
  // returns different percentage of tax based on type of person
  type.compareTo(s2);
}"
108,1,1,4,3,2017-04-05 20:27:50.864009,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
109,1,1,3,2,2017-04-05 20:27:53.110642,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
110,2,1,5,1,2017-04-05 20:28:00.196580,19,"int tax(Person p)
{
  
}"
111,1,0,4,4,2017-04-05 20:28:05.194898,1,"public static void main (String[] args)
{
    Scanner input = new Scanner(System.in);
    int[] numbers = new int[5];

    for (int i = 0; i < numbers.length; i++)
    {
        System.out.println(""Please enter number"");
        numbers[i] = input.nextInt();
    }
  	int max = numbers[0];
    int min = numbers[0];
  	for(int i = 1; i < numbers.length; i++)
    {
      if(numbers[i] < min)
      {
        min = numbers[i];
      }
      if(numbers[i] > max)
      {
        max = numbers[i];
      }
    }
  	
}"
112,2,0,1,3,2017-04-05 20:28:05.378406,19,"int tax(Person p)
{
  
}"
